Site_ID,Site,Cluster_3,WLC_RISK,GiZScore,GiPValue,NNeighbors,Gi_Bin
SITE_0189,Chintulovo mound,1,3.029679329230000,-0.313349919562000,0.754014828455000,9,0
SITE_0190,Nanchovata Mogila,1,3.267135634400000,-0.969348397655000,0.332371401722000,9,0
SITE_0191,Dyadovo settlement,1,4.693631725160000,0.312110047730000,0.754956891176000,9,0
SITE_0192,Kaloyanovo Mound I,1,3.865181313240000,-0.817543135836000,0.413618116443000,9,0
SITE_0193,Kaloyanovo Mound II,1,3.865181313240000,-0.817543135836000,0.413618116443000,9,0
SITE_0194,Kaloyanovo Mound III,1,4.041369281750000,-0.817543135836000,0.413618116443000,9,0
SITE_0195,Kaloyanovo Tumulus,1,4.041369281750000,-0.817543135836000,0.413618116443000,9,0
SITE_0196,Kamen mogila,1,5.288395215840000,-0.817543135836000,0.413618116443000,9,0
SITE_0197,Kota 255,1,4.106671954470000,0.712021636797000,0.476451382947000,9,0
SITE_0198,Prehistoric Wide Mound,1,4.968410992570000,0.682533515733000,0.494901662029000,9,0
SITE_0199,Roman Karanovo mound,1,4.452893231820000,0.712021636797000,0.476451382947000,9,0
SITE_0200,Tell Karanovo,1,4.421904089700000,0.682533515733000,0.494901662029000,9,0
SITE_0201,Boz Bair,1,4.616627116480000,0.015268339238000,0.987818101165000,9,0
SITE_0202,Boz Bair mound I,1,4.969003053490000,0.015268339238000,0.987818101165000,9,0
SITE_0203,Boz Bair mound II,1,5.216793118920000,0.015268339238000,0.987818101165000,9,0
SITE_0204,Tuida Fortress,1,2.859646020380000,-0.976456844149000,0.328838136506000,9,0
SITE_0205,Sokol Himitliyata,1,3.781125132470000,0.607719024752000,0.543373846188000,9,0
SITE_0206,Staro Selo Mogila,1,5.392981087420000,0.162526884787000,0.870890958782000,9,0
SITE_0207,Tvarditsa Fortress,3,5.345107352880000,-0.061483368239800,0.950974259566000,9,0
SITE_0208,Gela Basilica,2,6.252735616930000,1.239854510420000,0.215029235663000,9,0
SITE_0209,Gradishte Fortress,2,5.629053863620000,1.239854510420000,0.215029235663000,9,0
SITE_0210,Momchilova Fortress,2,4.777135957780000,2.329134561450000,0.019851938259700,9,2
SITE_0211,Kaleto Fortress Koshnitsa,2,4.625797599760000,1.228836425420000,0.219133164674000,9,0
SITE_0212,Uleya Cave,3,4.415954559680000,1.228836425420000,0.219133164674000,9,0
SITE_0213,St. Ilia Fortress,2,4.777135957780000,1.328029513300000,0.184168357206000,9,0
SITE_0214,Yagodinska Cave,3,3.984586861530000,1.328029513300000,0.184168357206000,9,0
SITE_0215,Tyovnata dupka,2,5.640815881290000,2.027985809430000,0.042561696332500,9,2
SITE_0216,Bratya Daskalovi mound,1,5.610495996810000,1.479927999610000,0.138892462475000,9,0
